"","Name","Subtitle","Acceleration(sec)","TopSpeed(km/h)","Range(km)","Efficiency(Wh/km)","FastChargeSpeed(km/h)","Drive","NumberofSeats","PriceinGermany(â,¬)","PriceinUK(Â£)"
"1","Opel Ampera-e ","Battery Electric Vehicle |       58 kWh ",7.3,150,335,173,210,"Front Wheel Drive",5,NA,NA
"2","Renault Kangoo Maxi ZE 33","Battery Electric Vehicle |       31 kWh ",22.4,130,160,194,NA,"Front Wheel Drive",5,NA,31680
"3","Nissan Leaf ","Battery Electric Vehicle |       36 kWh ",7.9,144,220,164,230,"Front Wheel Drive",5,NA,25995
"4","Audi e-tron Sportback 55 quattro","Battery Electric Vehicle |       86.5 kWh",5.7,200,375,231,600,"All Wheel Drive",5,NA,79900
"5","Porsche Taycan Turbo S","Battery Electric Vehicle |       83.7 kWh",2.8,260,390,215,860,"All Wheel Drive",4,NA,138830
"6","Nissan e-NV200 Evalia ","Battery Electric Vehicle |       36 kWh ",14,123,165,218,170,"Front Wheel Drive",7,NA,30255
"7","Volkswagen ID.3 Pure Performance","Battery Electric Vehicle |       45 kWh",8.9,160,275,164,260,"Rear Wheel Drive",5,NA,27120
"8","BMW iX3 ","Battery Electric Vehicle |       74 kWh",6.8,180,385,192,520,"Rear Wheel Drive",5,NA,58850
"9","Nissan Leaf e+","Battery Electric Vehicle |       56 kWh ",7.3,157,325,172,390,"Front Wheel Drive",5,NA,30445
"10","BMW i3 120 Ah","Battery Electric Vehicle |       37.9 kWh",7.3,150,235,161,270,"Rear Wheel Drive",4,NA,31305
"11","Mercedes EQA 250","Battery Electric Vehicle |       66.5 kWh",8.9,160,355,187,420,"Front Wheel Drive",5,NA,43495
"12","DS 3 Crossback E-Tense","Battery Electric Vehicle |       45 kWh ",8.7,150,250,180,330,"Front Wheel Drive",5,NA,31500
"13","BMW i3s 120 Ah","Battery Electric Vehicle |       37.9 kWh",6.9,160,230,165,260,"Rear Wheel Drive",4,NA,32305
"14","Sono Sion ","Battery Electric Vehicle |       47 kWh ",9,140,260,181,310,"Front Wheel Drive",5,NA,NA
"15","Audi e-tron GT RS","Battery Electric Vehicle |       85 kWh",3.3,250,405,210,810,"All Wheel Drive",4,NA,110950
"16","Kia e-Soul 64 kWh","Battery Electric Vehicle |       64 kWh",7.9,167,370,173,350,"Front Wheel Drive",5,NA,37545
"17","Renault Zoe ZE50 R110","Battery Electric Vehicle |       52 kWh",11.4,135,315,165,230,"Front Wheel Drive",5,NA,26795
"18","Hyundai IONIQ Electric","Battery Electric Vehicle |       38.3 kWh",9.7,165,250,153,220,"Front Wheel Drive",5,NA,30550
"19","Lightyear One ","Battery Electric Vehicle |       60 kWh ",10,150,575,104,540,"All Wheel Drive",5,NA,NA
"20","Tesla Roadster ","Battery Electric Vehicle |       200 kWh ",2.1,410,970,206,920,"All Wheel Drive",4,NA,189000
"21","Peugeot e-208 ","Battery Electric Vehicle |       45 kWh ",8.1,150,275,164,370,"Front Wheel Drive",5,NA,27225
"22","Honda e ","Battery Electric Vehicle |       28.5 kWh ",9,145,170,168,190,"Rear Wheel Drive",4,NA,27660
"23","CUPRA Born 110 kW - 55 kWh","Battery Electric Vehicle |       45 kWh",8.9,160,275,164,440,"Rear Wheel Drive",5,NA,28500
"24","Audi Q4 e-tron 35","Battery Electric Vehicle |       51.5 kWh",9,160,280,184,390,"Rear Wheel Drive",5,NA,40750
"25","Tesla Model Y Long Range Dual Motor","Battery Electric Vehicle |       76 kWh ",5.1,217,450,169,750,"All Wheel Drive",7,NA,54000
